pacfin.code,species
ARRA,aurora rockfish
ARTH,arrowtooth flounder
BANK,bank rockfish
BCAC,bocaccio
BLCK,black rockfish
BLGL,blackgill rockfish
BLUR,blue rockfish
BRNZ,bronzespotted rockfish
BRWN,brown rockfish
BSKT,big skate
BSPR,blackspotted rockfish
BYEL,black and yellow rockfish
CBZN,cabezon
CHLB,california halibut
CHNA,china rockfish
CLPR,chilipepper
CMEL,chameleon rockfish
CNRY,canary rockfish
COPP,copper rockfish
CWCD,cowcod
DBRK,darkblotched rockfish
DOVR,dover sole
DSOL,deepsea sole
DSRK,pacific spiny dogfish
EGLS,english sole
FLAG,flag rockfish
FSOL,flathead sole
GBLC,unknown
GPHR,gopher rockfish
GRAS,grass rockfish
GSPT,greenspotted rockfish
GSRK,greenstriped rockfish
HBRK,halfbanded rockfish
HNYC,honeycomb rockfish
HTRB,hornyhead turbot
KLPG,kelp greenling
KLPR,kelp rockfish
LCOD,lingcod
LSKT,longnose skate
LSPN,longspine thornyhead
MXRF,mexican rockfish
OLVE,olive rockfish
PCOD,pacific cod
PDAB,pacific sanddab
PNKR,pink rockfish
POP,pacific ocean perch
PTRL,petrale sole
QLBK,quillback rockfish
RBDB,unknown
RDBD,redbanded rockfish
REDS,redstripe rockfish
REX,rex sole
REYE,rougheye rockfish
RSOL,rock sole
SABL,sablefish
SBLY,shortbelly rockfish
SCOR,california scorpionfish
SHRP,sharpchin rockfish
SLNS,slender sole
SNOS,splitnose rockfish
SPKL,speckled rockfish
SQRS,squarespot rockfish
SRKR,shortraker rockfish
SSOL,sand sole
SSPN,shortspine thornyhead 
STAR,starry rockfish
STRK,stripetail rockfish
STRY,starry flounder
SWSP,swordspine rockfish
THDS,thornyheads 
TIGR,tiger rockfish
TREE,treefish rockfish
VRML,vermilion rockfish
WDOW,widow rockfish
YEYE,yelloweye rockfish
YTRK,yellowtail rockfish
CSOL,curlfi  sole
LPDS,leopard shark
SLGR,silvergray rockfish
RSTN,rosethorn rockfish
ROSY,rosy rockfish
UFLT,flatfish
YMTH,yellowmouth rockfish
