speciesName,altName1,altName2,altName2
arrowtooth flounder,-99,-99,-99
aurora rockfish,-99,-99,-99
bank rockfish,-99,-99,-99
big skate,-99,-99,-99
black rockfish,-99,-99,-99
blackgill rockfish,-99,-99,-99
blue rockfish,deacon rockfish,blue/deacon rockfish,blue and deacon rockfish
bocaccio,-99,-99,-99
brown rockfish,-99,-99,-99
cabezon,-99,-99,-99
California scorpionfish,-99,-99,-99
canary rockfish,-99,-99,-99
chilipepper,-99,-99,-99
China rockfish,-99,-99,-99
copper rockfish,-99,-99,-99
cowcod,-99,-99,-99
curlfin sole,-99,-99,-99
darkblotched rockfish,-99,-99,-99
Dover sole,-99,-99,-99
English sole,-99,-99,-99
flag rockfish,-99,-99,-99
flathead sole,-99,-99,-99
gopher rockfish,black and yellow rockfish,gopher and black and yellow rockfish,gopher/black and yellow rockfish
grass rockfish,-99,-99,-99
greenspotted rockfish,-99,-99,-99
greenstriped rockfish,-99,-99,-99
honeycomb rockfish,-99,-99,-99
kelp greenling,-99,-99,-99
kelp rockfish,-99,-99,-99
leopard shark,-99,-99,-99
lingcod,-99,-99,-99
longnose skate,-99,-99,-99
longspine thornyhead,-99,-99,-99
olive rockfish,-99,-99,-99
Pacific cod,-99,-99,-99
Pacific ocean perch,-99,-99,-99
Pacific sanddab,-99,-99,-99
Pacific spiny dogfish,dogfish shark,spiny dogfish,-99
petrale sole,-99,-99,-99
quillback rockfish,-99,-99,-99
redbanded rockfish,-99,-99,-99
redstripe rockfish,-99,-99,-99
rex sole,-99,-99,-99
rock sole,-99,-99,-99
rosethorn rockfish,-99,-99,-99
rosy rockfish,-99,-99,-99
rougheye rockfish,blackspotted rockfish,rougheye/blackspotted rockfish,rougheye and black spotted rockfish
sablefish,-99,-99,-99
sand sole,-99,-99,-99
sharpchin rockfish,-99,-99,-99
shortraker rockfish,-99,-99,-99
shortspine thornyhead,-99,-99,-99
silvergray rockfish,silvergrey rockfish,-99,-99
speckled rockfish,-99,-99,-99
splitnose rockfish,-99,-99,-99
squarespot rockfish,-99,-99,-99
starry flounder,-99,-99,-99
starry rockfish,-99,-99,-99
stripetail rockfish,-99,-99,-99
treefish,-99,-99,-99
vermilion rockfish,sunset rockfish,vemilion/sunset rockfish,vermilion and sunset rockfish
widow rockfish,-99,-99,-99
yelloweye rockfish,-99,-99,-99
yellowmouth rockfish,-99,-99,-99
yellowtail rockfish,-99,-99,-99
