area,filename
north_south,shortbelly_rockfish
wa_or,pacific_cod
ca,brown_rockfish
ca,copper_rockfish
coast,dover_sole
north_south_36,sablefish
coast,petrale_sole
ca,bank_rockfish
coast,pacific_sanddab
coast,arrowtooth_flounder
coast,aurora_rockfish
ca,blackgill_rockfish
north_south,bocaccio
coast,canary_rockfish
north_south,chilipepper
coast,darkblotched_rockfish
coast,english_sole
wa_or,flathead_sole
coast,greenspotted_rockfish
coast,greenstriped_rockfish
coast,lingcod
coast,longspine_thornyhead
coast,pacific_spiny_dogfish
coast,redbanded_rockfish
coast,rex_sole
coast,rougheye_rockfish
coast,sharpchin_rockfish
coast,shortspine_thornyhead
north_south,splitnose_rockfish
north_south,yellowtail_rockfish
coast,big_skate
coast,longnose_skate
north_south,pacific_ocean_perch
coast,widow_rockfish
hkl,bank_rockfish
hkl,blue_rockfish
hkl,bocaccio
hkl,canary_rockfish
hkl,chilipepper
hkl,copper_rockfish
hkl,cowcod
hkl,flag_rockfish
hkl,greenblotched_rockfish
hkl,greenspotted_rockfish
hkl,greenstriped_rockfish
hkl,halfbanded_rockfish
hkl,honeycomb_rockfish
hkl,lingcod
hkl,olive_rockfish
hkl,rosy_rockfish
hkl,speckled_rockfish
hkl,squarespot_rockfish
hkl,starry_rockfish
hkl,swordspine_rockfish
hkl,vermilion_rockfish
hkl,widow_rockfish
hkl,yelloweye_rockfish
hkl,yellowtail_rockfish
